order_id,date,item,category,unit_price,quantity,total_price,customer_rating,takeout
1272,2026-09-11,cold brew,coffee,5500,1.0,5500.0,3.1,yes
1055,2026-09-24,tiramisu,dessert,7000,3.0,21000.0,4.2,no
1238,2026-09-18,cold brew,coffee,5500,1.0,5500.0,4.1,no
1033,2026-09-25,cold brew,coffee,"5,500",3.0,16500.0,4.2,no
1286,2026-09-02,americano,coffee,4500,2.0,9000.0,3.7,yes
1371,2026-09-09,cold brew,coffee,5500,,5500.0,,yes
1258,2026-09-13,latte,coffee,5000,2.0,10000.0,3.7,yes
1108,2026-09-18,americano,coffee,4500,1.0,4500.0,,yes
1253,2026-09-11,espresso,coffee,4000,4.0,16000.0,3.9,yes
1203,2026-09-03,espresso,coffee,4000,3.0,12000.0,4.4,yes
1030,2026-09-17,tiramisu,dessert,7000,3.0,21000.0,4.2,no
1262,2026-09-06,cold brew,coffee,5500,3.0,16500.0,4.2,yes
1360,2026-09-18,bagel,bakery,3500,1.0,3500.0,5.0,no
1082,2026-09-29,bagel,bakery,3500,1.0,3500.0,3.7,no
1073,2026-09-16,latte,coffee,5000,1.0,5000.0,,no
1056,2026-09-23,chamomile,tea,5000,2.0,10000.0,4.6,no
1307,2026-09-26,macaron,dessert,3000,2.0,6000.0,4.2,no
1289,2026-09-24,cold brew,coffee,5500,2.0,11000.0,4.1,no
1311,2026-09-18,cold brew,coffee,5500,4.0,22000.0,2.3,yes
1079,2026-09-20,macaron,dessert,3000,3.0,9000.0,3.5,no
1382,2026-09-22,cheesecake,dessert,6500,2.0,13000.0,2.7,yes
1009,2026-09-08,green tea,tea,"4,800",4.0,19200.0,,yes
1009,2026-09-08,green tea,tea,"4,800",4.0,19200.0,,yes
1070,2026-09-29,espresso,coffee,4000,3.0,12000.0,5.0,no
1220,2026-09-10,espresso,coffee,"4,000",2.0,8000.0,4.8,no
1113,2026-09-13,green tea,tea,4800,1.0,4800.0,4.1,no
1361,2026-09-09,latte,coffee,5000,4.0,20000.0,3.9,yes
1357,2026-09-09,macaron,dessert,3000,2.0,6000.0,3.2,no
1391,2026-09-21,cold brew,coffee,5500,4.0,22000.0,3.9,no
1184,2026-09-03,cheesecake,dessert,6500,4.0,26000.0,3.7,no
1094,2026-09-27,cold brew,coffee,5500,3.0,,3.9,yes
1180,2026-09-20,bagel,bakery,3500,1.0,3500.0,4.5,yes
1078,2026-09-12,chamomile,tea,"5,000",1.0,5000.0,4.3,yes
1305,2026-09-07,green tea,tea,4800,2.0,9600.0,4.1,yes
1284,2026-09-29,green tea,tea,4800,4.0,19200.0,5.0,no
1318,2026-09-19,espresso,coffee,4000,1.0,,4.1,no
1310,2026-09-26,chamomile,tea,5000,4.0,20000.0,,yes
1126,2026-09-08,latte,coffee,"5,000",,10000.0,3.4,no
1015,2026-09-16,americano,coffee,4500,,13500.0,3.1,no
1356,2026-09-16,tiramisu,dessert,7000,2.0,14000.0,4.0,no
1000,2026-09-16,cheesecake,dessert,6500,2.0,13000.0,4.3,no
1181,2026-09-27,croissant,bakery,3800,1.0,3800.0,4.9,no
1335,2026-09-04,tiramisu,dessert,7000,4.0,28000.0,,no
1244,2026-09-09,cheesecake,dessert,6500,2.0,13000.0,4.5,yes
1337,2026-09-12,cheesecake,dessert,6500,3.0,19500.0,4.3,no
1354,2026-09-24,chamomile,tea,"5,000",,5000.0,4.6,no
1072,2026-09-20,scone,bakery,4000,3.0,12000.0,2.9,yes
1090,2026-09-04,espresso,coffee,4000,1.0,4000.0,,no
1114,2026-09-09,americano,coffee,4500,3.0,13500.0,3.0,yes
1094,2026-09-27,cold brew,coffee,5500,3.0,,3.9,yes
1271,2026-09-14,americano,coffee,4500,2.0,9000.0,3.5,no
1399,2026-09-30,latte,coffee,5000,,,3.4,no
1093,2026-09-17,latte,coffee,5000,1.0,5000.0,3.5,yes
1042,2026-09-03,tiramisu,dessert,7000,4.0,28000.0,4.4,no
1173,2026-09-23,scone,bakery,4000,4.0,16000.0,3.7,no
1140,2026-09-11,green tea,tea,4800,2.0,9600.0,2.8,no
1039,2026-09-28,cheesecake,dessert,6500,3.0,,2.7,yes
1209,2026-09-27,earl grey,tea,4800,,9600.0,4.6,no
1025,2026-09-19,americano,coffee,"4,500",2.0,9000.0,4.3,yes
1155,2026-09-16,macaron,dessert,3000,4.0,12000.0,5.0,yes
1195,2026-09-28,espresso,coffee,4000,1.0,4000.0,3.8,yes
1137,2026-09-12,earl grey,tea,"4,800",3.0,14400.0,4.3,yes
1077,2026-09-08,tiramisu,dessert,"7,000",4.0,28000.0,2.9,yes
1229,2026-09-21,espresso,coffee,4000,2.0,8000.0,4.2,yes
1022,2026-09-14,croissant,bakery,3800,3.0,11400.0,4.4,no
1046,2026-09-13,espresso,coffee,4000,1.0,,,no
1076,2026-09-17,americano,coffee,4500,3.0,13500.0,4.5,no
1321,2026-09-15,earl grey,tea,4800,1.0,4800.0,3.3,yes
1209,2026-09-27,earl grey,tea,4800,,9600.0,4.6,no
1148,2026-09-05,espresso,coffee,4000,2.0,8000.0,4.3,no
1057,2026-09-10,chamomile,tea,5000,4.0,20000.0,4.3,yes
1266,2026-09-12,espresso,coffee,4000,3.0,12000.0,5.0,no
1024,2026-09-30,cheesecake,dessert,6500,1.0,6500.0,4.2,yes
1017,2026-09-14,americano,coffee,4500,4.0,,4.7,no
1388,2026-09-15,latte,coffee,5000,2.0,10000.0,4.3,yes
1390,2026-09-06,macaron,dessert,3000,1.0,3000.0,2.9,no
1031,2026-09-08,bagel,bakery,3500,2.0,7000.0,4.8,no
1281,2026-09-13,cold brew,coffee,5500,3.0,16500.0,4.0,yes
1153,2026-09-17,earl grey,tea,4800,3.0,14400.0,5.0,no
1198,2026-09-23,latte,coffee,5000,3.0,15000.0,3.1,yes
1084,2026-09-08,espresso,coffee,"4,000",3.0,12000.0,2.4,yes
1329,2026-09-09,cold brew,coffee,5500,1.0,5500.0,5.0,yes
1172,2026-09-07,cold brew,coffee,5500,2.0,11000.0,2.3,no
1005,2026-09-14,croissant,bakery,3800,1.0,3800.0,4.2,yes
1045,2026-09-23,scone,bakery,4000,1.0,4000.0,4.6,no
1280,2026-09-16,americano,coffee,4500,1.0,4500.0,4.3,yes
1392,2026-09-04,green tea,tea,4800,2.0,9600.0,4.0,yes
1118,2026-09-08,espresso,coffee,4000,2.0,8000.0,3.3,no
1380,2026-09-22,earl grey,tea,4800,2.0,9600.0,4.1,yes
1239,2026-09-07,latte,coffee,5000,4.0,20000.0,3.1,no
1294,2026-09-09,scone,bakery,4000,2.0,8000.0,5.0,yes
1003,2026-09-01,tiramisu,dessert,7000,4.0,28000.0,4.2,no
1018,2026-09-24,bagel,bakery,3500,1.0,3500.0,3.4,yes
1116,2026-09-07,tiramisu,dessert,7000,2.0,14000.0,2.5,yes
1060,2026-09-26,tiramisu,dessert,7000,2.0,14000.0,3.5,no
1323,2026-09-08,earl grey,tea,4800,4.0,19200.0,4.6,yes
1398,2026-09-28,chamomile,tea,5000,,10000.0,4.2,no
1063,2026-09-19,cheesecake,dessert,6500,1.0,6500.0,4.5,no
1381,2026-09-06,croissant,bakery,3800,2.0,7600.0,4.1,yes
1193,2026-09-25,croissant,bakery,"3,800",4.0,15200.0,2.9,no
1110,2026-09-20,chamomile,tea,5000,1.0,5000.0,,yes
1304,2026-09-11,croissant,bakery,3800,1.0,3800.0,,no
1219,2026-09-24,espresso,coffee,"4,000",3.0,12000.0,2.6,no
1104,2026-09-15,cheesecake,dessert,6500,4.0,26000.0,4.7,yes
1287,2026-09-28,americano,coffee,"4,500",3.0,,3.7,no
1210,2026-09-22,tiramisu,dessert,7000,3.0,21000.0,4.7,no
1237,2026-09-09,macaron,dessert,3000,4.0,12000.0,4.3,no
1231,2026-09-09,latte,coffee,5000,2.0,10000.0,3.8,yes
1101,2026-09-08,cheesecake,dessert,6500,3.0,19500.0,4.0,no
1245,2026-09-12,croissant,bakery,3800,1.0,3800.0,3.3,no
1029,2026-09-03,cheesecake,dessert,6500,1.0,6500.0,4.3,no
1131,2026-09-12,scone,bakery,4000,2.0,8000.0,3.7,yes
1384,2026-09-19,latte,coffee,5000,2.0,10000.0,2.7,no
1265,2026-09-08,cold brew,coffee,5500,,11000.0,3.4,no
1227,2026-09-29,green tea,tea,4800,4.0,19200.0,3.2,no
1075,2026-09-03,americano,coffee,4500,2.0,9000.0,,no
1124,2026-09-09,latte,coffee,"5,000",1.0,5000.0,5.0,no
1132,2026-09-26,earl grey,tea,4800,3.0,14400.0,5.0,no
1016,2026-09-03,earl grey,tea,4800,1.0,4800.0,4.4,no
1066,2026-09-25,chamomile,tea,5000,4.0,20000.0,5.0,no
1157,2026-09-25,macaron,dessert,3000,2.0,6000.0,4.0,no
1007,2026-09-01,macaron,dessert,3000,1.0,3000.0,4.7,yes
1141,2026-09-02,green tea,tea,4800,1.0,4800.0,4.8,no
1019,2026-09-17,tiramisu,dessert,7000,2.0,14000.0,4.0,no
1342,2026-09-03,scone,bakery,4000,3.0,12000.0,4.4,yes
1365,2026-09-28,cold brew,coffee,5500,3.0,16500.0,3.5,no
1397,2026-09-23,espresso,coffee,4000,1.0,4000.0,4.7,yes
1302,2026-09-28,green tea,tea,4800,4.0,19200.0,4.1,no
1194,2026-09-25,cold brew,coffee,5500,1.0,5500.0,3.3,no
1362,2026-09-22,cold brew,coffee,"5,500",4.0,22000.0,3.8,no
1165,2026-09-30,latte,coffee,5000,1.0,5000.0,3.8,yes
